2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 5, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 5}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 6, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 6, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 6}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
2024-07-03 18:39:54 {'D1': 0, 'D2': 0, 'D3': 0, 'D4': 0, 'D5': 7, 'D6': 7, 'D7': 7}
